geo,cause,value,year,sex,rank,longitude,latitude,ISO,COUNTRYAFF,AFF_ISO
Switzerland,cancer,196.59,2020.0,T,first,8.286928794895285,46.73678128684938,CH,Switzerland,CH
Switzerland,ischaemic,51.76,2020.0,T,second,8.286928794895285,46.73678128684938,CH,Switzerland,CH
Switzerland,nervous_sys,40.15,2020.0,T,third,8.286928794895285,46.73678128684938,CH,Switzerland,CH
Sweden,cancer,214.61,2020.0,T,first,17.062431988004956,62.73420986108448,SE,Sweden,SE
Sweden,ischaemic,57.49,2020.0,T,second,17.062431988004956,62.73420986108448,SE,Sweden,SE
Sweden,nervous_sys,56.76,2020.0,T,third,17.062431988004956,62.73420986108448,SE,Sweden,SE
Spain,cancer,214.93,2020.0,T,first,-3.6516251409956983,40.36500833668384,ES,Spain,ES
Spain,nervous_sys,50.81,2020.0,T,second,-3.6516251409956983,40.36500833668384,ES,Spain,ES
Spain,ischaemic,29.32,2020.0,T,third,-3.6516251409956983,40.36500833668384,ES,Spain,ES
Slovenia,cancer,291.2,2020.0,T,first,14.89063689997378,46.13759229564504,SI,Slovenia,SI
Slovenia,accident,61.28,2020.0,T,second,14.89063689997378,46.13759229564504,SI,Slovenia,SI
Slovenia,nervous_sys,44.26,2020.0,T,third,14.89063689997378,46.13759229564504,SI,Slovenia,SI
Slovakia,ischaemic,336.13,2020.0,T,first,19.58101536249097,48.69808390520484,SK,Slovakia,SK
Slovakia,cancer,302.41,2020.0,T,second,19.58101536249097,48.69808390520484,SK,Slovakia,SK
Slovakia,pneumonia,71.53,2020.0,T,third,19.58101536249097,48.69808390520484,SK,Slovakia,SK
Serbia,cancer,283.12,2020.0,T,first,20.85677444395745,44.02679870131969,RS,Serbia,RS
Serbia,ischaemic,69.76,2020.0,T,second,20.85677444395745,44.02679870131969,RS,Serbia,RS
Serbia,diabetes,49.62,2020.0,T,third,20.85677444395745,44.02679870131969,RS,Serbia,RS
Romania,cancer,260.56,2020.0,T,first,25.094158201563292,45.82454894397586,RO,Romania,RO
Romania,ischaemic,204.35,2020.0,T,second,25.094158201563292,45.82454894397586,RO,Romania,RO
Romania,pneumonia,63.44,2020.0,T,third,25.094158201563292,45.82454894397586,RO,Romania,RO
Portugal,cancer,242.58,2020.0,T,first,-7.933662183874006,39.67529214702138,PT,Portugal,PT
Portugal,nervous_sys,38.57,2020.0,T,second,-7.933662183874006,39.67529214702138,PT,Portugal,PT
Portugal,pneumonia,38.2,2020.0,T,third,-7.933662183874006,39.67529214702138,PT,Portugal,PT
Poland,cancer,280.15,2020.0,T,first,19.43573279234468,52.06848055692473,PL,Poland,PL
Poland,ischaemic,120.6,2020.0,T,second,19.43573279234468,52.06848055692473,PL,Poland,PL
Poland,pneumonia,59.32,2020.0,T,third,19.43573279234468,52.06848055692473,PL,Poland,PL
Norway,cancer,224.1,2020.0,T,first,16.670259272390894,64.97775882947745,NO,Norway,NO
Norway,nervous_sys,53.48,2020.0,T,second,16.670259272390894,64.97775882947745,NO,Norway,NO
Norway,accident,39.61,2020.0,T,third,16.670259272390894,64.97775882947745,NO,Norway,NO
Netherlands,cancer,261.73,2020.0,T,first,5.554136426128487,52.134054128923886,NL,Netherlands,NL
Netherlands,nervous_sys,51.53,2020.0,T,second,5.554136426128487,52.134054128923886,NL,Netherlands,NL
Netherlands,accident,45.27,2020.0,T,third,5.554136426128487,52.134054128923886,NL,Netherlands,NL
Malta,cancer,213.36,2020.0,T,first,14.441922442508494,35.890522650899314,MT,Malta,MT
Malta,ischaemic,81.07,2020.0,T,second,14.441922442508494,35.890522650899314,MT,Malta,MT
Malta,diabetes,55.96,2020.0,T,third,14.441922442508494,35.890522650899314,MT,Malta,MT
Luxembourg,cancer,203.57,2020.0,T,first,6.103230338458876,49.77523454542369,LU,Luxembourg,LU
Luxembourg,nervous_sys,45.72,2020.0,T,second,6.103230338458876,49.77523454542369,LU,Luxembourg,LU
Luxembourg,accident,32.02,2020.0,T,third,6.103230338458876,49.77523454542369,LU,Luxembourg,LU
Lithuania,ischaemic,458.34,2020.0,T,first,23.946021605013534,55.29437393417175,LT,Lithuania,LT
Lithuania,cancer,276.76,2020.0,T,second,23.946021605013534,55.29437393417175,LT,Lithuania,LT
Lithuania,accident,54.33,2020.0,T,third,23.946021605013534,55.29437393417175,LT,Lithuania,LT
Liechtenstein,cancer,183.58,2020.0,T,first,9.547674672376376,47.14627562133036,LI,Liechtenstein,LI
Liechtenstein,ischaemic,47.14,2020.0,T,second,9.547674672376376,47.14627562133036,LI,Liechtenstein,LI
